split,case_id,num_source_docs,ref_long,ref_short,ref_tiny,case_name,case_type,class_action_sought,filing_year,case_ongoing,prevailing_party,source_word_count,ref_long_word_count,ref_short_word_count,ref_tiny_word_count
train,EE-AL-0045,4,"On September 15, 2005, the Equal Employment Opportunity Commission (EEOC) filed suit against House of Philadelphia, Inc., on behalf of an employee who was allegedly fired because she was pregnant. Seeking monetary and injunctive relief for the employee (including economic damage, compensation for emotional harm, and punitive damages), the EEOC brought suit under Title VII of the Civil Rights Act of 1964 for unlawful discrimination on the basis of sex. The EEOC also sought to recover its costs.

Via private counsel, the employee filed a motion to intervene in the suit, which was automatically granted after the period for filing objections passed without incident. The employee brought claims under Title VII and state law and sought substantially the same relief as the EEOC, except that the complaint specifically sought reinstatement.

Eventually the parties came to a settlement agreement, which the Court (Judge Kristi K. DuBose) entered as a consent decree on Jan 10, 2009. The terms of the decree, which lasted 3 years, provided monetary and injunctive relief. The employee received $8,000, while House of Philadelphia, Inc., was required to institute and follow policies to eliminate sex discrimination and pregnancy discrimination from the workplace and to post and distribute the policies to employees.  House of Philadelphia also had to provided yearly training to its employees explaining pregnancy and sex discrimination, informing them of its illegality, and explaining how to avoid it, who to file complaints with, and that managers would be evaluated for enforcing the anti-discrimination policies. House of Philadelphia was further required to investigate complaints adequately and report the results of each investigation to the EEOC. The 3-year decree period passed without court involvement and the case is now closed.","Equal Employment Opportunity Commission brought a Title VII sex discrimination case against House of Philadelphia, Inc., on behalf of an employee who was allegedly fired because she was pregnant. The EEOC sought monetary and injunctive relief for the employee (including economic damage, compensation for emotional harm, and punitive damages). The employee later intervened in the suit. The parties came to a settlement that was entered as a consent decree. The decree provided for monetary relief for the employee and subjected House of Philadelphia to a 3-year injunction. The case is now closed.",,"EEOC v. House of Philadelphia Center, Inc.",Equal Employment,No,2005,No,Plaintiff,4897,281,92,0
train,PB-NJ-0003,4,"NOTE:  This is one of three identically named cases in the Clearinghouse. For the 2005 case generally challenging the unnecessary institutionalization of individuals with disabilities in New Jersey, see <a href=""http://www.clearinghouse.net/detail.php?id=12675"">PB-NJ-0007</a>.  For the case challenging the long waitlists for community-based services, see <a href=""http://www.clearinghouse.net/detail.php?id=11664"">PB-NJ-0004</a>.

On April 5, 2005, a non-profit organization representing approximately one thousand individuals confined in psychiatric hospitals in New Jersey filed a lawsuit against Commissioner of the New Jersey Department of Human Services under Due Process Clause, the Americans with Disabilities Act, and Section 504 of the Rehabilitation Act in the U.S. District Court for the District of New Jersey.  The plaintiff, represented by public services counsel, asked the Court for declaratory and injunctive relief, alleging that the defendant failed to provide community placements for individuals currently residing in state psychiatric hospitals that had been adjudicated as no longer meeting the standards for civil commitment.  Specifically, the plaintiff claimed that the defendant had used the Conditional Extension Pending Placement (""CEPP"") to confine individuals for excessive periods of time and has failed to implement an effective plan for discharging these individuals into the community, even though under New Jersey law, the state might use CEPP to continue confinement while the state was still developing an appropriate community placement.

On September 30, 2005, the Court (Judge Stanley R. Chesler) denied the defendant's motion to dismiss.

On July 29, 2009, after extended negotiations, the parties reached a settlement whereby the state agreed to place 1065 individuals in the community through FY 2014.

The agreement was initially set to last until 2014. But, by November 2014, the defendant was not set to meet the requirements of the consent decree. Judge Wolfson therefor extended the agreement until 2016. On March 2, 2017, the parties submitted a letter to the court notifying it of substantial compliancy by the defendants. The consent decree terminated and the case is now closed.","The case was brought by a non-profit organization against the state of New Jersey seeking declaratory and injunctive relief.  On July 29, 2009, the parties reached a settlement in favor of the plaintiff.",,Disability Rights New Jersey v. Velez,Public Benefits / Government Services,No,2005,No,Plaintiff,23805,316,33,0
train,EE-FL-0136,3,"On August 9, 2007, the United States Department of Justice (""DOJ"") filed a lawsuit in the U.S. District Court for the Southern District of Florida under Title VII of the Civil Rights Act of 1964 against the Department of Parks and Recreation in Palm Beach County alleging that the defendant discriminated against an employee on the basis of his religion. Specifically, the DOJ contended that the Department of Parks and Recreation discriminated against a Christian park ranger by failing or refusing to accommodate his religious practice of attending church and refraining from work on Sundays, and for subsequently discharging him for this religious practice. The EEOC investigated the charge and found reasonable cause to believe that allegations of religious discrimination were true, attempted unsuccessfully through negotiation to achieve a voluntary resolution, and subsequently referred the charge to the DOJ. The U.S. sought remedial and injunctive relief. 

On August 27, 2007, the DOJ and the defendant entered into a consent decree approved by the district court (Judge Kenneth A. Marra). The defendant was enjoined from discriminating against any employee because of that individual's good faith religious observances or practices. The defendant further agreed not to retaliate against the plaintiff or any other employees because they opposed the allegedly discriminatory practices, filed a charge with the EEOC, or cooperated or participated in this case or decree. The defendant was also ordered to reasonably accommodate the religious practices and observances of its employees and to provide training regarding Title VII's prohibition of discriminatory practices to supervisory personnel. With regards to the employee who filed the EEOC complaint, the defendant was ordered to offer the employee reinstatement with remedial seniority and back pay and to accommodate the employee's request for a work schedule that allows him to refrain from work on Sundays. The defendant was also obligated to expunge all negative references for this employee pertaining to his refusal to work on Sundays from their files. In order to accept the remedial relief offered, the employee was required to sign an executed release. Finally, the defendant agreed to furnish records and documents pertaining to their compliance with the decree to the DOJ on request.",,,United States v. Palm Beach County,Equal Employment,No,2007,No,Mixed,6522,360,0,0
train,EE-CA-0305,13,"On May 11, 2006, African-American employees of a restaurant in Berkeley, California filed this lawsuit in the United States District Court for the Northern District of California, under 42 U.S.C. § 1981, Title VII of the Civil Rights Act, and the California Fair Employment and Housing Act against McCormick & Schmick's Seafood Restaurants (""M&S""). The plaintiffs, represented by private counsel, asked the court for injunctive and declaratory relief, and damages, alleging that McCormick & Schmick's discriminated against African-Americans on the basis of race with respect to hiring, job assignment, compensation, promotion to managerial positions, discipline, and other conditions of employment. Specifically, this action was seeking an end to M&S's discriminatory policies or practices, and recovery of back pay and front pay.

On November 28, 2006, U.S. District Court Judge Claudia Wilken granted the plaintiffs' motion to compel production of statistical data. The plaintiffs sought the statistical data to support their contention that the defendant's discriminatory hiring practices were company-wide, and not limited to a single restaurant. <i>Wynne v. McCormick and Schmick's Seafood Restaurants</i>, 2006 WL 3422226 (N.D. C.A. Nov. 28, 2006).  

On March 16, 2007, Magistrate Judge Bernard Zimmerman issued an order to show cause why the defendant should not be held in contempt of court or sanctioned for failing to comply with the Court's Discovery Order.

The court preliminarily approved a class settlement on April 4, 2008.  The court provisionally certified settlement classes, approved class notification, and preliminarily approved the consent decree. On August 7, 2008 the court granted final approval to the settlement and consent decree  On the same day, the court granted about $900,000 in attorney fees and costs.

The Consent Decree was filed on August 8, 2008. It provided injunctive relief relating to hiring, promotion, training, and reporting and record-keeping. Further, it provided that the defendant would pay $2.1 million for the benefit of the class.  The Consent Decree was set to remain in effect for five years after the Court's final approval. The Decree required annual reports to the plaintiffs, but they weren't filed in court. Presumably the case ended after the 2013 report; the last entry in the docket sheet dealt with a procedural matter in 2010. ","This case was brought by African American employees of McCormick and Schmick's Restaurants seeking equitable relief and damages to remedy alleged discrimination based on race.  The case was settled in August 2008, resulting in more than $2 million for Plaintiffs, as well as injunctive relief relating to hiring, promotion, training, and reporting.",,Wynne v. McCormick & Schmick's Seafood Restaraunts Inc.,Equal Employment,Yes,2006,No reason to think so,Plaintiff,58302,363,52,0
train,NH-NJ-0002,6,"Pursuant to the Civil Rights of Institutionalized Persons Act (""CRIPA""), 42 U.S.C. § 1997, the Civil Rights Division of the U.S. Department of Justice (""DOJ"") conducted an investigation of conditions at the Mercer County Geriatric Center (""MCGC""), a public nursing home facility in New Jersey, evidently operated by Mercer County.  The investigation resulted in an October 9, 2002, findings letter being sent to the County Executive.  The letter stated that in December 2001, DOJ advised county officials of its intent to conduct an investigation of the facility pursuant to CRIPA authority, but the county and its counsel wholly declined to cooperate in the investigation.  The investigation occurred nonetheless, even though the county's attorney interfered with the investigators' access to the MCGC's residents.  The letter stated that non-cooperation is one factor considered adversely when drawing conclusions about a facility, but the DOJ explained it also relied upon federal and state survey information, news articles, medical records, family interviews, private attorney and advocate interviews, and publicly available data.

The letter advised that the DOJ's investigation led it to find that certain conditions at MCGC violated residents' federal rights, in that (1) Mercer County did not maintain sanitary and safe living conditions at MCGC; (2) MCGC residents did not receive adequate medical and mental health care; (3) MCGC residents were denied rehabilitation, restorative care, and freedom from unreasonable restraints; (4) MCGC mealtime assistance, nutrition, and hydration practices were not adequate; (5) MCGC residents were not treated in the most integrated setting appropriate to individual resident needs; and (6) staffing, administration, and policy deficiencies contributed to inadequate care at MCGC.  Among the policy deficiencies listed was the county's denial of MCGC residents' First Amendment right to communicate with federal officials who were conducting the CRIPA investigation.

The DOJ findings letter proposed remedial actions to remedy the deficiencies, invited the county to address the issues, and alerted the county to the possibility of a CRIPA lawsuit brought by the United States to compel remedial action.

Negotiations evidently followed, because the county and the DOJ eventually entered into a settlement agreement obligating the county to improve a wide range of policies and practices at MCGC.  The settlement contained substantive provisions addressing (A) assessment and care planning, (B) restraints and medication usage, (C) mealtime assistance, resident nutrition, and hydration practices, (D) therapeutic activities, rehabilitation, and restorative care, (E) mental health care, (F) treatment in the most integrated setting appropriate to individualized needs, and (G) management, oversight, and training.  The settlement allowed for DOJ and its' consultants to retain access privileges to MCGC, its residents, and documents and records, for monitoring and technical assistance purposes, as well as to have access privileges to alternative placement settings.  Further, the agreement called for the county to fund a jointly agreed-upon monitor.  The county had 180 days to implement the changes called for in the settlement document which, by its terms, expired in three years. Attorneys for the county signed the agreement on December 28, 2004, followed by relevant DOJ officials' signatures being added on February 18, 2005, when the document and its attached monitoring protocol were received by the U.S. District Court for the District of New Jersey.  The same date, the United States filed its complaint against the county and its subdivision and officials responsible for the operation of the MCGC.  The CRIPA-based complaint sought declaratory and injunctive relief, citing the deficiencies at MCGC and alleging that the defendants' conduct violated residents' federal constitutional, statutory, and regulatory rights, including those provided by the First and Fourteenth Amendments, the Americans with Disabilities Act, 42 U.S.C. § 12101 et seq., the nursing home reform provisions of the Omnibus Budget and Reconciliation Act of 1987, 42 U.S.C. §§ 1395i-3 and 1396r, and Section 504 of the Rehabilitation Act, 29 U.S.C. § 794 (and implementing regulations).

District Judge Garrett E. Brown, Jr., signed the settlement as the order and judgment of the court October 14, 2005.  The judge's unpublished order of November 29, 2005, appointed Marie Boltz as monitor in the case.  Her subsequent reports were attached as part of the United States' status reports to the court on the case.

On Nov. 24, 2008, the parties jointly moved to conditionally dismiss the case with one year of oversight in response to the defendants' progress implementing the settlement agreement. The court granted the motion on Jan. 9, 2009. The defendants moved to dismiss the case on Aug. 6, 2010, which the court granted later that month.

The case is closed.","Pursuant to the Civil Rights of Institutionalized Persons Act (""CRIPA""), 42 U.S.C. § 1997, the Civil Rights Division of the U.S. Department of Justice (""DOJ"") conducted an investigation of conditions at the Mercer County Geriatric Center (""MCGC""), a public nursing home facility in New Jersey, evidently operated by Mercer County.  The investigation led the DOJ to find that certain conditions at MCGC violated residents' federal rights. The parties settled and the case is now closed.",,"U.S. v. Mercer County, New Jersey",Nursing Home Conditions,No,2005,No,Plaintiff,15612,747,75,0
train,NS-CA-0021,3,"On July 30, 2015, the Freedom of the Press Foundation (a non-profit organization focusing on First Amendment press rights) sued the U.S. Department of Justice in the Northern District of California seeking injunctive relief under the Freedom of Information Act. Plaintiff sought the expedited processing and release of records from the FBI concerning the procedures by which the Bureau issues National Security Letters (""NSLs"") and exigent letters to investigate members of the press. Plaintiff believes that the records met FOIA’s requirements for expedited processing as they are are “of widespread and exceptional media interest in which there exist possible questions about the government’s integrity which affect public confidence.” 5 U.S.C. § 552(a)(6)(E)(v)(II).    

18 U.S.C. § 2709 authorizes the FBI to NSLs to obtain subscriber information, toll billing records, and transactional records from wire or electronic communications service providers in national security investigations. The FBI issues these NSLs without any prior judicial review, and Section 2709(c) allows the FBI to impose an indefinite nondisclosure order on an NSL recipient. Similarly, exigent letters allow the FBI to obtain phone records in emergency situations without serving prior legal process.

In three cases simultaneously before the Ninth Circuit, the constitutionality of the NSL framework was being challenged, though the practice of issuing NSLs continues. See Under Seal v. Lynch, Nos. 13-15957, 13-16731, 13-16732 (9th Cir. argued Oct. 8, 2014).  

FBI procedures for interacting with the media are contained in a publicly available document called “Media Guidelines.” The latest update to the Guidelines in January 2015 contains no procedures for issuing NSLs or exigent letters, so Plaintiff requested this information in a FOIA request dated March 10, 2015. While the FBI granted the request for expedited processing only ten days later, the agency has yet to make a final determination to release the records. Plaintiff appealed the constructive denial in May 2015, and received a letter in July indicating that the request would take a further seven months to be decided upon. This is far beyond the generally applicable twenty-day deadline for processing any FOIA request.

A hearing schedule was set on January 21, 2016 and the hearing occurred on August 18, 2016.

On March 13, 2017, the Court (Judge Haywood S. Gilliam) granted summary judgment in favor of the defendant. The Court found that the defendant conducted an adequate search in response to the request, and properly invoked exemption 1 (authorized to be kept secret in the interest of national defense by Executive Order), exemption 3 (exempted from disclosure by statute), exemption 5 (exempted from disclosure because document is an interagency or intra-agency memorandum which should not be available by law to a party other than an agency unless in litigation with the agency), exemption 7(E) (exempted from disclosure as it is a law enforcement record that would reveal techniques and procedures for law enforcement investigations, prosecutions, or guidelines for investigations or prosecutions). The Court also found the plaintiff did not sufficiently specify how the withheld material matched previously disclosed material and thus could not raise Official Acknowledgment over the FOIA exemptions. Next, the Court found the defendant appropriated segregated and disclosed the portions of documents that were not exempted. Finally, the Court denied a request of in camera review, finding the defendant sufficiently supported its exemptions. 241 F. Supp. 3d 986.

The case is now closed.","A non-profit organization dealing with rights of the press sued the USDOJ over its unreasonable withholding of a FOIA request about the FBI's use of National Security Letters and exigent letters to retain information about the press. These methods of investigation allow for seizure of phone records and other telecom info without prior legal process. The FBI's criteria for issuing NSLs and exigent letters was not contained in the most recent version of its Media Guidelines, so Plaintiff submitted a FOIA request in March 2015. In March 2017, the Court granted summary judgment in favor of the defendant, finding that the defendant properly withheld information under FOIA exemptions 1, 3, 5, and 7(E). ",,Freedom of the Press Foundation v. U.S. Department of Justice,National Security,No,2015,No,Defendant,13607,553,113,0
train,FH-DE-0001,4,"On March 4, 2010, the United States of America filed this lawsuit under the Fair Housing and Equal Credit Opportunity Acts against AIG Federal Savings Bank in the United States District Court, District of Delaware. The plaintiff, represented by attorneys from the U.S. Department of Justice and the U.S. Attorney's office asked the court for declaratory, injunctive, and monetary relief, claiming that AlG had engaged in a pattern or practice of discrimination on the basis of race. Specifically, the U.S. claimed that from July 2003 to May 2006, black borrowers nationwide were charged broker fees 20 basis points higher, on average, than the broker fees charged to white borrowers.

On March 19, 2010, the parties entered into a consent decree in which the bank agreed to: 1) refrain from engaging in any act or practice in wholesale home mortgage lending that discriminates on the basis of race or color; 2) maintain during the period of the order annual fair lending training; 3) develop and implement specific, nonracial standards for the assessment of direct broker fees on residential real estate-related loans; 4) post and prominently display in each location where loan applications are received by the lender a notice of nondiscrimination; 5) require brokers to make certain disclosures to applicants; 6) participate in a monitoring program to ensure compliance with the provisions of the consent decree; 7) provide a minimum of $1 million to certain organizations to provide credit counseling, financial literacy; and other related educational programs to African-American borrowers; 8) provide employees with equal credit opportunity training; and 9) pay $6.1 million in damages to those affected by AIG's discriminatory lending practices.

On July 7, 2011, the Court (Judge Leonard P. Stark) entered an order for distribution of the funds remaining in the settlement fund ($1,268,372.92) among the National Urban League, Operation HOPE and the American Financial Services Association Education Foundation.","The United States of America filed a lawsuit under the Fair Housing and Equal Credit Opportunity Acts against AIG Federal Savings Bank, claiming that AlG had engaged in a pattern or practice of discrimination on the basis of race. Specifically, the U.S. claimed that from July 2003 to May 2006, black borrowers nationwide were charged higher broker fees than white borrowers. 

The parties entered into a consent decree in which the lender agreed to implement policies designed to aid in the prevention of racial discrimination, to provide monetary relief to the affected parties, and to assist in funding financial education programs. This case is ongoing.",,United States v. AIG Federal Savings Bank,Fair Housing/Lending/Insurance,No,2010,No reason to think so,Plaintiff,8391,311,105,0
train,PB-WV-0002,6,"On October 1, 2013, three same-sex couples and the minor child of one of the couples filed a lawsuit against Kanawha County, West Virginia in the U.S. District Court for the Southern District of West Virginia. The plaintiffs, represented by Lambda Legal Defense & Education Fund, asked the court to declare unconstitutional any West Virginia laws banning same-sex marriage, to enjoin West Virginia from refusing to recognize same-sex marriages undertaken in other states, and to award the plaintiffs reasonable attorney's fees and costs of suit.

The plaintiffs claimed that their rights under the Due Process and Equal Protection clauses of the United States Constitution were violated. They further asserted that the ban on same-sex marriage discriminated on the basis of sexual orientation, sex, and parental status. The plaintiffs also alleged that they were being denied a multitude of other social and legal rights that marriage provides.

On December 2, 2013, the Court (Judge Robert C. Chambers) granted the State of West Virginia's Motion to intervene as a defendant.  On January 29, 2014, The District Court (Robert C. Chambers, Chief Judge) held that: the Court would consider the case law, but not legal argument, contained in untimely notice of supplemental authority filed by plaintiffs; the action did not present difficult questions of state law, therefore the case would remain in federal court; the plaintiffs lacked standing to challenge constitutionality of the non-recognition statute, however, the plaintiffs were allowed to challenge the other parts the West Virginia marriage ban. 993 F. Supp .2d 639.

The Court <a href=""http://www.clearinghouse.net/detailDocument.php?id=75611"">stayed the case</a> on June 10, 2014, pending the outcome of <a href=""http://www.clearinghouse.net/detail.php?id=12807"">Bostic v. Schafer</a>, a Fourth Circuit case that had a substantial overlap in issues with McGee v. Cole. The holding in Bostic, that same-sex marriage bans are unconstitutional, controlled this case.

On November 7, 2014, the Court, in keeping with <i>Bostic</i>, applied strict scrutiny to the marriage ban and found that it was not narrowly tailored to achieve a compelling state interest, and decided in favor of the plaintiffs. It issued an opinion and order that granted the plaintiffs' motion for summary judgment, while denying the State of West Virginia's motion to dismiss. In the order, the Court disagreed that there would be uniformity problems regarding the enforcement of the marriage ban across the counties of West Virginia. While the defendants claimed that the decision would only ban the named clerks from denying same-sex couples marriage licenses, the Court found that would not be the case. The Court further held that the marriage ban was not a narrowly-tailored state interest and that it violated the plaintiffs' constitutional rights under the Due Process and Equal Protection Laws under the Fourteenth Amendment. The case ended on November 7, 2014.

On July 16, 2015, Judge Chambers awarded the plaintiffs $92,125 in attorneys’ fees, including paralegal fees, and $7,679.64 in costs and expenses. The case is now closed.","On October 1, 2013, three same-sex couples and the minor child of one of the couples filed a lawsuit against Kanawha County, West Virginia. The plaintiffs asked the court to declare unconstitutional any West Virginia laws banning same-sex marriage, enjoin West Virginia from refusing to recognize same-sex marriages undertaken in other states, and to award the plaintiffs reasonable attorney's fees and costs of suit. The case was decided in favor of the plaintiffs, who were granted summary judgment in November 2014 and awarded attorneys’ fees, costs, and expenses.","Three same-sex couples, and the minor child of one of the couples won this same-sex marriage lawsuit in WV",McGee v. Cole,Public Benefits / Government Services,No,2013,No,Plaintiff,41651,481,88,19
train,PN-MI-0008,5,"On May 1, 2013, two men who were arrested for trespassing on property open to the public filed this lawsuit in the U.S. District Court for the Western District of Michigan. The plaintiffs sued the City of Grand Rapids, its chief of police, and two individual officers under 42 U.S.C. § 1983. The plaintiffs, represented by the National ACLU and ACLU of Michigan, asked the court for a declaratory judgment, damages, and injunctive relief concerning the use of ""No Trespass Letters."" The plaintiffs claimed that the City of Grand Rapids, its chief of police, and police officers violated their Fourth Amendment rights. 
  
According to the amended complaint, the Grand Rapids Police Department (""GRPD"") had arrested individuals for trespassing based on a City trespass ordinance, under which the City solicits No Trespass Letters from area businesses indicating their intent to prosecute trespassers. The plaintiffs alleged they were arrested for trespassing while sitting in their vehicles in a business's parking lot, without any warning or complaint from the business itself. The plaintiffs claimed their arrests were without probable cause and therefore in violation of the Fourth Amendment. Additionally, the plaintiffs claimed that the ordinance violated the void-for-vagueness doctrine of the Due Process Clause of the Fourteenth
Amendment. 

On December 3, 2013, the defendants filed a motion to dismiss the plaintiffs' claims for injunctive and declaratory relief. They argued that the plaintiffs lacked standing to seek declaratory or injunctive relief because they were not suffering an imminent threat of repeated future misconduct. Additionally, defendants argued that the plaintiffs' claims for declaratory and injunctive relief were not ripe because the City had changed the No Trespass Letters following the plaintiffs' filling of the Complaint. Defendants did not challenge the Court's jurisdiction to hear the plaintiffs' claim for damages. 

On August 4, 2014, the Judge Paul L. Maloney dismissed the claims of one of the plaintiffs against the defendants according to the parties' stipulation. However, the other plaintiffs' claims remained. 

While the motion to dismiss was still pending, the defendants and the plaintiffs both filed motions for summary judgment. In April 2015, the court postponed the trial date pending the resolution of multiple motions made by both the defendants and the plaintiffs. 

Following a hearing on the defendants' motion to dismiss, as well as both parties' motions for summary judgment, Judge Maloney granted the defendants' motion to dismiss the plaintiffs' claims for injunctive and declaratory relief on June 21, 2017. 256 F.Supp.3d 742. The Court held that, because the plaintiffs had not alleged sufficient facts to present a threat of an imminent, as opposed to a speculative, injury, they lacked standing to seek declaratory and injunctive relief. The Court also noted that the City's changes to the No Trespass Letters following the filing of this case rendered the requests for prospective relief unripe. The Court did not, however, grant the defendants' motion to dismiss the plaintiffs' claim for damages. 

Notably, the Michigan Court of Appeals addressed the same issue of whether the Grand Rapids ordinance is constitutional and held that it is unconstitutional. People v. Maggitt, 903 N.W.2d 868 (Mich. Ct. App. 2017). Following the Michigan Court of Appeals' ruling, the City effectively ended its practice of arresting individuals pursuant to the No Trespass Letters.  

On October 17, 2018, Judge Maloney held that both sides were entitled to partial summary judgment. 407 F.Supp.3d 707.

The Court granted summary judgment for plaintiffs on their municipal liability claim against the City of Grand Rapids. The Court found that the City had an unconstitutional policy or custom whereby police officers arrested individuals for trespassing on property covered by a no-trespass letter without first informing the suspect that he or she must leave the property. However, the Court found that the plaintiffs had failed to show that the City's trespass ordinance was unconstitutionally vague. 

Additionally, the Court dismissed the plaintiffs' claims against the individual defendants because it found that the police officers were entitled to qualified immunity. At the time of the arrests, it was not clearly established law what knowledge the officers must have before concluding that they had probable cause to arrest a suspect for violating the City's ordinance.  

After a February 4, 2019 conference with Judge Maloney, the parties appeared to move into settlement negotiations. Judge Maloney filed an order on April 12 stating that he had received word from the parties that they had settled the issue on the matter of damages. A damages amount was not publicly disclosed; the ACLU <a href=""https://www.aclu.org/cases/hightower-v-city-grand-rapids"">described</a> it as a ""favorable settlement agreement resulting in significant compensation for each of our four plaintiffs."" The parties continued litigating over attorney fees, but came to a private agreement on the matter on December 23, 2019. Judge Maloney dismissed the case on January 24, 2020.","Two men who were arrested for trespassing on property of businesses open to the public filed a lawsuit in the U.S. District Court for the Western District of Michigan against the city of Grand Rapids, its chief of police, and two individual officers. The plaintiffs claimed that the Grand Rapids Police Department's policy and practice of arresting individuals for trespass -- without probable cause and based on general Letters of Intent to Prosecute signed by Grand Rapids businesses -- results in unreasonable searches and seizures in violation of the Fourth Amendment. The parties came to a private settlement agreement for damages and attorney's fees in late 2019. The Judge dismissed the case in early 2020.","Settlement reached in 2019 for @ACLU case on arrests for trespassing without a warning under Grand Rapids, MI's ""No Trespass Letters"" policy (W.D. Mich.)",Weber v. City of Grand Rapids,Policing,No,2013,No,Plaintiff,44043,793,115,24
train,EE-MI-0184,5,"On March 28, 2000, a Jewish employee filed a lawsuit under Title VII of the Civil Rights Act of 1964 against the L'Anse Area Schools in the U.S. District Court for the Western District of Michigan. The employee, represented by private counsel, sought monetary and injunctive relief.

The employee alleged that the school was a hostile work environment. Specifically, the employee alleged he was subjected to threats from students and faculty based on his religion and that there were messages saying ""Die Jews,"" ""White Power,"" and ""KKK"" left in and around his classroom. On several occasions, a hangman's noose was also placed on his classroom door. The employee eventually resigned because of this conduct.

The U.S. Department of Justice (""D.O.J."") intervened in the matter on behalf of the employee and requested that the defendant take measures to remedy the harassment problem and ensure that the same harassment does not occur in the future.

On November 14, 2001, the district court (Judge Gordon J. Quist) denied defendant's motion for summary judgment, holding that although it did not engage in the abusive behavior, its alleged responses were so inadequate and

demeaning that it indicated that defendants intended that the teacher quit.

On July 7, 2005, the district court (Judge Quist) accepted a settlement agreement from both parties. The agreement awarded the employee $265,000 in financial damages. Also, the school district agreed to train its employees to recognize and address issues of harassment. The agreement further provided for the D.O.J. to monitor the situation in the school district for three years.

We have no further information on this case.

",,,Owen v. L'anse Area Schools,Equal Employment,No,2000,No,Plaintiff,18257,266,0,0
